TempleID,TempleName,Block_Name
t50,"அருள்மிகு சாட்டுப்பாலவிநாயகர் திருக்கோயில், சேரன்மகாதேவி, அம்பாசமுத்திரம்",unknown
t51,"அருள்மிகு வெங்கிடாசலபதி திருக்கோயில், சேரன்மகாதேவி, அம்பாசமுத்திரம்",unknown
t52,"அருள்மிகு ஆதித்தவர்னேஸ்வர் திருக்கோயில், மேலச்செவல், அம்பாசமுத்திரம்",unknown
t53,"அருள்மிகு சுந்தரராஜபெருமாள் திருக்கோயில், வீரவநல்லூர், அம்பாசமுத்திரம்",unknown
t54,"அருள்மிகு விக்கிரமபாண்டீஸ்வரர் திருக்கோயில், வீரவநல்லூர், அம்பாசமுத்திரம்",unknown
t55,"நரசிங்க விநாயகர்திருக்கோயில், அத்தாளநல்லூர்",unknown
t56,"அருள்மிகு பசுங்கிளி அய்யன் சாஸ்தா திருக்கோயில், கோபாலசமுத்திரம், அம்பாசமுத்திரம்",unknown
t57,"அருள்மிகு கைலாசநாதசுவாமி திருக்கோயில், அரியநாயகிபுரம், அம்பாசமுத்திரம்",unknown
t58,"அருள்மிகு வண்டிமலைச்சியம்மன் திருக்கோயில். வீரவநல்லூர், அம்பாசமுத்திரம்",unknown
t59,"மூன்றீஸ்வரமுடையார் திருக்கோயில், அத்தாளநல்லூர்",unknown
t60,"வில்வநாதர் சுவாமி திருக்கோயில், பத்தமடை",unknown
t61,"வெங்கடாசலபதி திருக்கோயில், கோபாலசமுத்திரம்",unknown
t62,"புறவேலிநாதர் திருக்கோயில், வீரவநல்லூர்",unknown
t63,"வெங்கடாசலபதி திருக்கோயில், கரிசூழ்ந்தமங்கலம்",unknown
t64,பூமிநாதசுவாமி திருக்கோயில் வீரவநல்லூர்,unknown
t65,"கனகசபாபதி திருக்கோயில், கரிசூழ்ந்தமங்கலம்",unknown
t66,"வெங்கடாசலபதி திருக்கோயில், பத்தமடை",unknown
t67,"அப்பன் வெங்கடாசலபதி திருக்கோயில், சேரன்மகாதேவி",unknown
t68,"பக்தவச்சலப் பெருமாள் திருக்கோயில், சேரன்மகாதேவி",unknown
t69,"தெய்வீஸ்வரமுடையார் திருக்கோயில், சேரன்மகாதேவி",unknown
t70,"விஸ்வநாதசுவாமி திருக்கோயில், சேரன்மகாதேவி",unknown
t71,"நடுவுளப்பர் திருக்கோயில், சேரன்மகாதேவி",unknown
t72,"நவநீதகிருஷ்ணசுவாமி திருக்கோயில், மேலச்செவல்",unknown
t73,"சொக்கநாதசுவாமி திருக்கோயில், தேசமாணிக்கம்",unknown
t74,"தர்மராஜா திரௌபதியம்மன் திருக்கோயில், ரயில்வே பீடர் ரோடு, வீரவநல்லூர்",unknown
t75,"ஆயிரத்தம்மன் திருக்கோயில், கேசவசமுத்திரம் மாவட்டம்",unknown
t76,"வெங்கடாசலபதி திருக்கோயில், கீழச்செவல்",unknown
t77,"விஸ்வநாதசுவாமி திருக்கோயில், பெருமாள் சன்னதி, கோபாலசமுத்திரம்",unknown
t78,"நவநீத கிருஷ்ணசுவாமி திருக்கோயில், ரயில்வே பீடர் ரோடு, வீரவநல்லூர்",unknown
t79,"அருள்மிகு குத்துப்பிறை இசக்கியம்மன திருக்கோயில், நாங்குனேரி",unknown
t80,"ஜீயர் மடம், திருக்குறுங்குடி, நாங்குனேரி",unknown
t81,அருள்மிகு வாசுதேவப்பெருமாள் திருக்கோயில்,Kalakadu
t82,அருள்மிகு சத்தியவாகீஸ்வரர் திருக்கோயில்,Kalakadu
t83,"வானமாமலை மடம், நாங்குனேரி",unknown
t84,"அருள்மிகு திருவழுதீஸ்வரர் திருக்கோயில். கோயில் ஏர்வாடி, நான்குநேரி",Kalakadu
t85,"அருள்மிகு மீனாட்சி சுந்தரேஸ்வரர் மற்றும் நவநீதிகிருஷ்ணசுவாமி திருக்கோயில் சேரன்மகாதேவி, அம்பாசமுத்திரம்",unknown
t86,அருள்மிகு அழகிய நம்பிராயர் திருக்கோயி திருக்குறுங்குடி,Kalakadu
t87,அருள்மிகு வானமாமலை பெருமாள் திருக்கோயில் நாங்குனேரி,unknown
t88,அருள்மிகு சோமநாதசுவாமி திருக்கோயில் தேவநல்லூர்,Kalakadu
t89,வரதராஜ பெருமாள் திருக்கோயில் களக்காடு,Kalakadu
t90,அருள்மிகு சௌந்திரபாண்டீஸ்வரர் திருக்கோயில் மேலக்கரு வேளாண்குலம் நாங்குநேரி,Kalakadu
t91,"நெல்லையப்பர் திருக்கோயில், வடமலைசத்திரம், நான்குநேரி வட்டம்",Kalakadu
t92,"மழுவேந்தீஸ்வரர் திருக்கோயில்அ, பூலம், நான்குநேரி வட்டம்",unknown
t93,"கைலாசநாதர் மற்றும் வெங்கடாசலபதி திருக்கோயில், கடம்போடு வாழ்வு, நான்குநேரி வட்டம்",Kalakadu
t94,"குலசேகரநாதர் திருக்கோயில், கீழப்பத்தை, நான்குநேரி வட்டம்",Kalakadu
t95,"நெல்லையப்பர் காந்திமதியம்பாள் திருக்கோயில், பத்மனேரி, நான்குநேரி வட்டம்",unknown
t96,"வெற்றி விநாயகர் திருக்கோயில், நான்குநேரி நகர் மற்றும் வட்டம்",unknown
t97,"வரதராஜ பெருமாள் திருக்கோயில், சிங்கிகுளம், நான்குநேரி வட்டம்",Kalakadu
t98,"அருள்மிகு ராமசாமி திருக்கோயில், பாளையங்கோட்டை நகர்",unknown
t99,"அருள்மிகு அக்னீஸ்வரர் திருக்கோயிலுடன் இணைந்த அங்கிசாத்துக்கட்டளை, ராஜவல்லிபுரம், பாளையங்கோட்டை",unknown
t100,"எம்.எஸ்.சுந்தரம்பிள்ளை கட்டளை (இ) ராமசாமி திருக்கோயில், பாளையங்கோட்டை",unknown
t101,"அருள்மிகு வேணுகோபாலசுவாமி திருக்கோயில், கீழநத்தம், பாளையங்கோட்டை",unknown
t102,"சாயராட்சை அர்த்தசாமக்கட்டளை (இ) திரிபுராந்தீஸ்வரர் திருக்கோயில். பாளையங்கோட்டை நகர், பாளையங்கோட்டை,திருநெல்வேலி",unknown
t103,"அருள்மிகு வெங்கிடாசலபதி திருக்கோயில், திம்மராஜபுரம், பாளையங்கோட்டை",unknown
t104,"அருள்மிகு சுடலைமாடசுவாமி திருக்கோயில், சீவலப்பேரி, பாளையங்கோட்டை",unknown
t105,"அருள்மிகு வெங்கடாசலபதி திருக்கோயில், கிருஷ்ணாபுரம்",unknown
t106,"அருள்மிகு பூலுடையார் சாஸ்தா திருக்கோயில், மருகால் தலைகிராமம், பாளையங்கோட்டை",unknown
t107,"திருமலையப்பர் திருக்கோயில், திருத்து, பாளையங்கோட்டை வட்டம்",unknown
t108,"இரட்டை விநாயகர் திருக்கோயில், மடத்துப்பட்டி, சீவலப்பேரி வழி, பாளையங்கோட்டை வட்டம்",unknown
t109,"மூன்றீஸ்வரமுடையார் திருக்கோயில், மணப்படைவீடு, பாளையங்கோட்டை வட்டம்",unknown
t110,"சொக்கநாதசுவாமி திருக்கோயில், மேலப்புத்தனேரி, பாளையங்கோட்டை வட்டம்",unknown
t111,"அருள்மிகு உதயமார்த்தாண்ட கட்டளை (இ)அருள்மிகு சுப்பிரமணிய சுவாமி திருக்கோயில், வள்ளியூர், இராதாபுரம்",unknown
